ダウンロードした時刻：2022/07/24 22:08:18

,立山,立山,立山,立山,立山,立山,立山,立山,立山,立山,立山,立山,立山,立山,立山,立山,立山,立山
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2014/1/1,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/2,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/3,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/4,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/5,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/6,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/7,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/8,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/9,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/10,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/11,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/12,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/13,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/14,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/15,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/16,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/17,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/18,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/19,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
2014/1/20,,0,1,,0,1,,0,1,,0,1,,0,1,,0,1
